4.089	-0.000	0.000	0.000	0.000	0.000	-9.096	-3.901	-2.427	-0.304	-2.805	0.834
-0.000	1.554	0.000	0.000	0.000	-0.000	-1.689	-2.080	-0.457	-0.151	-0.156	-0.624
0.000	0.000	0.938	-0.000	-0.000	-0.000	-3.436	-2.224	-2.223	-0.350	-1.178	0.122
0.000	0.000	-0.000	0.019	0.000	0.000	-0.053	0.045	-0.013	-0.087	0.011	-0.027
0.000	0.000	-0.000	0.000	0.301	-0.000	-0.203	-0.377	0.105	-0.104	-0.300	0.494
0.000	-0.000	-0.000	0.000	-0.000	0.008	-0.071	-0.040	-0.063	-0.014	-0.056	-0.083
-9.096	-1.689	-3.436	-0.053	-0.203	-0.071	0.000	0.000	0.000	0.000	0.000	0.000
-3.901	-2.080	-2.224	0.045	-0.377	-0.040	0.000	0.000	0.000	0.000	0.000	0.000
-2.427	-0.457	-2.223	-0.013	0.105	-0.063	0.000	0.000	0.000	0.000	0.000	0.000
-0.304	-0.151	-0.350	-0.087	-0.104	-0.014	0.000	0.000	0.000	0.000	0.000	0.000
-2.805	-0.156	-1.178	0.011	-0.300	-0.056	0.000	0.000	0.000	0.000	0.000	0.000
0.834	-0.624	0.122	-0.027	0.494	-0.083	0.000	0.000	0.000	0.000	0.000	0.000
3.734	0.000	-0.000	-0.000	-0.000	-0.000	-8.655	-1.659	-0.245	2.600	-0.956	2.128
0.000	1.942	-0.000	-0.000	0.000	-0.000	-1.867	-2.495	-1.131	0.149	-0.012	-1.007
-0.000	-0.000	0.974	0.000	0.000	0.000	-3.588	-1.619	-2.017	1.642	-0.351	0.950
-0.000	-0.000	0.000	0.013	-0.000	-0.000	-0.068	0.060	-0.023	-0.142	-0.010	-0.040
-0.000	0.000	0.000	-0.000	0.291	0.000	-0.073	-0.060	0.286	-0.149	-0.314	0.416
-0.000	-0.000	0.000	-0.000	0.000	0.009	-0.097	-0.027	-0.071	-0.062	-0.052	-0.120
-8.655	-1.867	-3.588	-0.068	-0.073	-0.097	0.000	0.000	0.000	0.000	0.000	0.000
-1.659	-2.495	-1.619	0.060	-0.060	-0.027	0.000	0.000	0.000	0.000	0.000	0.000
-0.245	-1.131	-2.017	-0.023	0.286	-0.071	0.000	0.000	0.000	0.000	0.000	0.000
2.600	0.149	1.642	-0.142	-0.149	-0.062	0.000	0.000	0.000	0.000	0.000	0.000
-0.956	-0.012	-0.351	-0.010	-0.314	-0.052	0.000	0.000	0.000	0.000	0.000	0.000
2.128	-1.007	0.950	-0.040	0.416	-0.120	0.000	0.000	0.000	0.000	0.000	0.000
